episode,Success,Replay Memory,total numsteps,level
881,0,75152,75152,0
882,0,75169,75169,0
883,0,75189,75189,0
884,1,75202,75202,0
885,0,75227,75227,0
886,0,75253,75253,0
887,0,75275,75275,0
888,1,75288,75288,0
889,0,75310,75310,0
890,0,75566,75566,0
891,1,75613,75613,0
892,0,75869,75869,0
893,0,76125,76125,0
894,0,76148,76148,0
895,0,76173,76173,0
896,0,76194,76194,0
897,0,76450,76450,0
898,0,76706,76706,0
899,1,76933,76933,0
900,1,76945,76945,0
901,0,76970,76970,0
902,0,76997,76997,0
903,0,77027,77027,0
904,0,77283,77283,0
905,0,77302,77302,0
906,1,77351,77351,0
907,0,77387,77387,0
908,0,77408,77408,0
909,0,77429,77429,0
910,0,77450,77450,0
911,0,77706,77706,0
912,0,77733,77733,0
913,0,77758,77758,0
914,1,77776,77776,0
915,0,77799,77799,0
916,1,77981,77981,0
917,0,78005,78005,0
918,0,78028,78028,0
919,1,78044,78044,0
920,0,78300,78300,0
921,0,78318,78318,0
922,0,78339,78339,0
923,0,78359,78359,0
924,0,78387,78387,0
925,1,78403,78403,0
926,0,78659,78659,0
927,1,78668,78668,0
928,0,78686,78686,0
929,0,78942,78942,0
930,0,78959,78959,0
931,0,78985,78985,0
932,0,79006,79006,0
933,1,79012,79012,0
934,0,79063,79063,0
935,1,79128,79128,0
936,0,79384,79384,0
937,0,79406,79406,0
938,0,79662,79662,0
939,0,79680,79680,0
940,0,79700,79700,0
941,0,79956,79956,0
942,0,80212,80212,0
943,0,80231,80231,0
944,0,80487,80487,0
945,0,80743,80743,0
946,0,80774,80774,0
947,0,81030,81030,0
948,0,81286,81286,0
949,0,81542,81542,0
950,0,81563,81563,0
951,0,81819,81819,0
952,0,82075,82075,0
953,1,82092,82092,0
954,0,82348,82348,0
955,0,82604,82604,0
956,0,82860,82860,0
957,1,82873,82873,0
958,0,82901,82901,0
959,0,82920,82920,0
960,1,82929,82929,0
961,1,82946,82946,0
962,0,82966,82966,0
963,0,83222,83222,0
964,0,83478,83478,0
965,0,83545,83545,0
966,0,83574,83574,0
967,0,83830,83830,0
968,0,83847,83847,0
969,1,83861,83861,0
970,0,83894,83894,0
971,0,84150,84150,0
972,0,84179,84179,0
973,0,84435,84435,0
974,0,84691,84691,0
975,0,84947,84947,0
976,0,85203,85203,0
977,0,85221,85221,0
978,0,85477,85477,0
979,0,85733,85733,0
980,0,85753,85753,0
981,0,86009,86009,0
982,0,86027,86027,0
983,0,86050,86050,0
984,0,86306,86306,0
985,0,86562,86562,0
986,0,86818,86818,0
987,1,86833,86833,0
988,1,86847,86847,0
989,0,86871,86871,0
990,1,86887,86887,0
991,0,86909,86909,0
992,0,86928,86928,0
993,0,86946,86946,0
994,0,86966,86966,0
995,0,86985,86985,0
996,0,87005,87005,0
997,0,87211,87211,0
998,0,87231,87231,0
999,0,87254,87254,0
1000,0,87277,87277,0
1001,0,87295,87295,0
1002,1,87309,87309,0
1003,0,87330,87330,0
1004,0,87586,87586,0
1005,0,87746,87746,0
1006,0,87763,87763,0
1007,0,87792,87792,0
1008,0,87811,87811,0
1009,0,88067,88067,0
1010,0,88088,88088,0
1011,1,88095,88095,0
1012,0,88114,88114,0
1013,0,88134,88134,0
1014,0,88152,88152,0
1015,0,88408,88408,0
1016,0,88431,88431,0
1017,0,88487,88487,0
1018,0,88506,88506,0
1019,0,88526,88526,0
1020,0,88782,88782,0
1021,1,88798,88798,0
1022,0,88817,88817,0
1023,0,88839,88839,0
1024,0,88867,88867,0
1025,0,88884,88884,0
1026,0,89140,89140,0
1027,0,89162,89162,0
1028,0,89192,89192,0
1029,0,89213,89213,0
1030,0,89233,89233,0
1031,0,89489,89489,0
1032,0,89505,89505,0
1033,1,89517,89517,0
1034,0,89535,89535,0
1035,0,89791,89791,0
1036,0,90047,90047,0
1037,0,90303,90303,0
1038,0,90355,90355,0
1039,1,90365,90365,0
1040,1,90368,90368,0
1041,0,90386,90386,0
1042,0,90421,90421,0
1043,0,90442,90442,0
1044,0,90469,90469,0
1045,0,90725,90725,0
1046,0,90981,90981,0
1047,0,90998,90998,0
1048,1,91007,91007,0
1049,0,91027,91027,0
1050,1,91030,91030,0
1051,0,91084,91084,0
1052,0,91103,91103,0
1053,0,91359,91359,0
1054,0,91615,91615,0
1055,0,91636,91636,0
1056,0,91659,91659,0
1057,0,91678,91678,0
1058,0,91697,91697,0
1059,0,91717,91717,0
1060,0,91738,91738,0
1061,0,91994,91994,0
1062,0,92062,92062,0
1063,0,92084,92084,0
1064,0,92105,92105,0
1065,0,92130,92130,0
1066,1,92142,92142,0
1067,0,92398,92398,0
1068,1,92412,92412,0
1069,0,92430,92430,0
1070,1,92446,92446,0
1071,0,92702,92702,0
1072,1,92797,92797,0
1073,0,92814,92814,0
1074,0,93070,93070,0
1075,0,93089,93089,0
